",""X"",""x"",""y"""
1,1,4,53
2,2,5,63
3,3,10,59
4,4,9,77
5,5,13,49
6,6,13,69
7,7,12,88
8,8,15,75
9,9,18,61
10,10,19,65
11,11,22,74
12,12,27,72
13,13,28,76
14,14,24,58
15,15,27,55
16,16,28,60
17,17,30,52
18,18,31,60
19,19,32,61
20,20,36,72
21,21,28,147
22,22,32,149
23,23,35,153
24,24,33,154
25,25,38,151
26,26,41,150
27,27,38,145
28,28,38,143
29,29,32,143
30,30,34,141
31,31,44,156
32,32,44,149
33,33,44,143
34,34,46,142
35,35,47,149
36,36,49,152
37,37,50,142
38,38,53,144
39,39,52,152
40,40,55,155
41,41,54,124
42,42,60,136
43,43,63,139
44,44,86,132
45,45,85,115
46,46,85,96
47,47,78,94
48,48,74,96
49,49,97,122
50,50,98,116
51,51,98,124
52,52,99,119
53,53,99,128
54,54,101,115
55,55,108,111
56,56,110,111
57,57,108,116
58,58,111,126
59,59,115,117
60,60,117,115
61,61,70,4
62,62,77,12
63,63,83,21
64,64,61,15
65,65,69,15
66,66,78,16
67,67,66,18
68,68,58,13
69,69,64,20
70,70,69,21
71,71,66,23
72,72,61,25
73,73,76,27
74,74,72,31
75,75,64,30
